epsilon,F_no_dep,F_dep,mu_no_dep,mu_dep,Q_no_dep,Q_dep
5.000000000000000278e-02,2.595222762766192091e+02,6.350884519085956299e+02,2.291187332374447216e-01,9.216886416031831730e-02,2.398122381707564754e-01,2.447677922171944132e-01
1.035714285714285643e-01,5.409281303255810371e+02,8.941874636094017887e+02,1.104945872075838581e-01,6.575531164235634551e-02,2.396905258295138619e-01,2.446203083866502204e-01
1.571428571428571397e-01,8.356791467426086228e+02,1.196367242002014564e+03,7.215740591686194139e-02,4.954523595528207563e-02,2.394872336862823581e-01,2.443945457232052365e-01
2.107142857142856873e-01,1.144734385452361948e+03,1.538535142477858471e+03,5.334467649225491104e-02,3.898274144319435752e-02,2.392101674214325291e-01,2.440967145503915858e-01
2.642857142857142905e-01,1.478468006374374454e+03,1.924960682335470892e+03,4.199250616886950060e-02,3.165000857401022161e-02,2.388661408213322845e-01,2.437278884811417690e-01
3.178571428571428381e-01,1.846574451891417993e+03,2.358850585075121671e+03,3.432611340167457392e-02,2.634467350931064822e-02,2.384640530445863160e-01,2.433032490259778580e-01
3.714285714285713857e-01,2.261254494538383369e+03,2.868318413258404235e+03,2.874871134904844264e-02,2.219714310421920175e-02,2.380139365170557131e-01,2.428299351992145028e-01
4.249999999999999889e-01,2.738490615362949939e+03,3.484199184348158269e+03,2.446837768866918020e-02,1.881394951721037864e-02,2.375267039316761863e-01,2.423188164853654625e-01
4.785714285714285365e-01,3.286820270798342335e+03,4.251593684532700536e+03,2.112952551343890220e-02,1.596231212228356108e-02,2.370276423068279348e-01,2.417795439439693883e-01
5.321428571428571397e-01,3.946560936723326904e+03,5.243389906739354046e+03,1.835737543418840267e-02,1.348621198517138166e-02,2.365210092008477871e-01,2.412222301489068965e-01
5.857142857142857428e-01,4.764365878319782496e+03,6.583362228548482562e+03,1.598614007314329635e-02,1.127801015351721260e-02,2.360194576424562152e-01,2.406577025101630241e-01
6.392857142857143460e-01,5.814361804094307445e+03,8.494562659476423505e+03,1.390294610496532052e-02,9.264059868601707756e-03,2.355355993872576270e-01,2.400974139886281888e-01
6.928571428571428381e-01,7.222468272951196013e+03,1.140770244441183058e+04,1.202565526285076340e-02,7.399669652774181275e-03,2.350820257971784066e-01,2.395534564571287772e-01
7.464285714285714413e-01,9.189102011490209406e+03,1.637854530905654246e+04,1.032266455439786318e-02,5.620309289406781941e-03,2.347144636029205034e-01,2.389867842163279354e-01
8.000000000000000444e-01,1.221834042075494290e+04,2.568535413361407336e+04,8.684846746206530133e-03,3.998279979387069256e-03,2.344268304383990420e-01,2.384433327721749152e-01
